,GLA,REIT,city,free_GLA,last_renovation,ownership,pct_lease,property_name,renovation_year,rent_per_sq,state,tenants,year_acquired,year_built,year_built_or_acquired,zipcode
640,1280235.0,GGP,Tucson,602872.0,,100.0,96.1,Tucson Mall,,,AZ,"[""Dillard's, JCPenney, Macy's, Sears""]",,,,
641,796707.0,GGP,McLean (Washington,284774.0,,100.0,96.2,Tysons Galleria,,,D.C.),"['Neiman Marcus, Saks Fifth Avenue']",,,,
642,1174824.0,GGP,Bakersfield,517856.0,,100.0,98.4,Valley Plaza Mall,,,CA,"[""JCPenney, Macy's, Sears, Target""]",,,,
643,435371.0,GGP,Visalia,178371.0,,100.0,95.1,Visalia Mall,,,CA,"[""JCPenney, Macy's""]",,,,
644,97128.0,GGP,Seattle,97128.0,,100.0,98.4,Westlake Center,,,WA,[nan],,,,
645,1069492.0,GGP,Omaha,540456.0,,100.0,98.0,Westroads Mall,,,NE,"['JCPenney, Von Maur, Younkers']",,,,
646,1110980.0,GGP,Baltimore,387625.0,,100.0,96.9,White Marsh Mall,,,MD,"[""JCPenney, Macy's, Macy's Home Store, Sears,"", ""Boscov's""]",,,,
647,1518546.0,GGP,Wayne,488486.0,,100.0,100.0,Willowbrook,,,NJ,"[""Bloomingdale's, Lord & Taylor, Macy's,"", 'Sears']",,,,
648,1632795.0,GGP,Woodbridge,616121.0,,100.0,94.3,Woodbridge Center,,,NJ,"[""Boscov's, JCPenney, Lord & Taylor, Macy's,"", 'Sears']",,,,
649,35304.0,GGP,New York,35304.0,,50.0,,218 W. 57th Street,,,NY,[nan],,,,
650,61753.0,GGP,New York,61753.0,,50.0,100.0,530 Fifth Avenue,,,NY,"['Fossil, Desigual, Chase Bank']",,,,
651,109795.0,GGP,New York,24180.0,,50.0,100.0,685 Fifth Avenue,,,NY,"['Coach, Stuart Weitzman']",,,,
652,101786.0,GGP,New York,69114.0,,50.0,100.0,730 Fifth Avenue,,,NY,"['Bulgari, Mikimoto, Piaget, Zenga']",,,,
653,12946.0,GGP,New York,12946.0,,50.0,100.0,85 Fifth Avenue,,,NY,['Anthropologie'],,,,
654,2661037.0,GGP,Honolulu,1269106.0,,63.0,89.9,Ala Moana Center,,,HI,"[""Macy's, Neiman Marcus, Bloomingdale's,"", 'Nordstrom']",,,,
655,1323275.0,GGP,Lynnwood,578370.0,,50.0,98.7,Alderwood,,,WA,"[""JCPenney, Macy's, Nordstrom, Sears""]",,,,
656,1146873.0,GGP,Altamonte Springs,468325.0,,50.0,98.8,Altamonte Mall,,,FL,"[""Dillard's, JCPenney, Macy's, Sears""]",,,,
657,206543.0,GGP,Miami,205440.0,,51.0,97.9,Bayside Marketplace,,,FL,[nan],,,,
658,1008101.0,GGP,Bridgewater,414651.0,,35.0,99.4,Bridgewater Commons,,,NJ,"[""Bloomingdale's, Lord & Taylor, Macy's""]",,,,
659,1161421.0,GGP,Pineville,387919.0,,50.0,97.5,Carolina Place,,,NC,"[""Belk, Dillard's, JCPenney, Sears""]",,,,
660,1266862.0,GGP,Newark,625550.0,,50.0,100.0,Christiana Mall,,,DE,"[""JCPenney, Macy's, Nordstrom, Target""]",,,,
661,1410227.0,GGP,Happy Valley,635385.0,,50.0,100.0,Clackamas Town Center,,,OR,"[""JCPenney, Macy's, Macy's Home Store, Nordstrom,"", 'Sears']",,,,
662,1878386.0,GGP,Las Vegas,845098.0,,50.0,99.5,Fashion Show,,,NV,"[""Dillard's, Macy's, Macy's Men's, Neiman"", 'Marcus, Nordstrom, Saks Fifth Avenue']",,,,
663,1178256.0,GGP,Sugar Land,559208.0,,50.0,98.6,First Colony Mall,,,TX,"[""Dillard's, Dillard's Men's & Home, JCPenney,"", ""Macy's""]",,,,
664,940516.0,GGP,Florence,388109.0,,50.0,89.9,Florence Mall,,,KY,"[""JCPenney, Macy's, Macy's Home Store, Sears""]",,,,
665,1025314.0,GGP,Riverside,557106.0,,50.0,97.1,Galleria at Tyler,,,CA,"[""JCPenney, Macy's, Nordstrom""]",,,,
666,1476567.0,GGP,Glendale,506397.0,,50.0,99.3,Glendale Galleria,,,CA,"[""Bloomingdale's, JCPenney, Macy's, Target""]",,,,
667,1160622.0,GGP,Cincinnati,519301.0,,50.0,100.0,Kenwood Towne Centre,,,OH,"[""Dillard's, Macy's, Nordstrom""]",,,,
668,768549.0,GGP,Miami,692712.0,,15.0,87.8,Miami Design District,,,FL,"['Bulgari, Fendi, Hermes, Louis Vuitton,', 'Prada, Valentino']",,,,
669,514024.0,GGP,Boca Raton,170867.0,,47.0,96.1,Mizner Park,,,FL,['Lord & Taylor'],,,,
670,1695588.0,GGP,Natick,942496.0,,50.0,98.1,Natick Mall,,,MA,"[""Lord & Taylor, Macy's, Sears, Neiman Marcus,"", 'Nordstrom']",,,,
671,1013820.0,GGP,Bensalem,379639.0,,50.0,92.7,Neshaminy Mall,,,PA,"[""Boscov's, Macy's, Sears""]",,,,
672,1014457.0,GGP,Northbrook,478180.0,,50.0,87.6,Northbrook Court,,,IL,"[""Lord & Taylor, Macy's, Neiman Marcus""]",,,,
673,2445549.0,GGP,Oak Brook,1139741.0,,48.0,98.8,Oakbrook Center,,,IL,"[""Lord & Taylor, Macy's, Neiman Marcus, Nordstrom,"", 'Sears']",,,,
674,652595.0,GGP,Chula Vista,512595.0,,50.0,99.2,Otay Ranch Town Center,,,CA,"[""Macy's""]",,,,
675,1576935.0,GGP,Lone Tree,753935.0,,35.0,97.4,Park Meadows,,,CO,"[""Dillard's, JCPenney, Macy's, Nordstrom""]",,,,
676,1563892.0,GGP,Atlanta,510618.0,,50.0,95.8,Perimeter Mall,,,GA,"[""Dillard's, Macy's, Nordstrom, Von Maur""]",,,,
677,999954.0,GGP,Rogers,355945.0,,50.0,95.8,Pinnacle Hills Promenade,,,AR,"[""Dillard's, JCPenney""]",,,,
678,485231.0,GGP,St. Louis,224518.0,,55.0,98.5,Plaza Frontenac,,,MO,"['Neiman Marcus, Saks Fifth Avenue']",,,,
